05/04 07:06:00 FINE sim.Admin|Log for simulation 11 started
************************************************************
* Log for simulation 11 started
************************************************************


05/04 07:06:00 INFO sim.TACAdxSimulation|TACAA Simulation 11 is setting up...
05/04 07:06:00 INFO sim.TACAdxSimulation|Created Adx Agent
05/04 07:06:00 INFO sim.TACAdxSimulation|Created Demand Agent
05/04 07:06:00 FINE generators.SimpleUserGenerator|Generated 10000 tau.tac.adx.users.AdxUsers
05/04 07:06:00 FINE sim.ExternalAgent|sample setup with address adv1
05/04 07:06:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork simulationSetup
05/04 07:06:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-2 simulationSetup
05/04 07:06:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-3 simulationSetup
05/04 07:06:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-4 simulationSetup
05/04 07:06:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-5 simulationSetup
05/04 07:06:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-6 simulationSetup
05/04 07:06:00 FINE agents.SampleAdNetwork|AdNet DummyAdnetwork-7 simulationSetup
05/04 07:06:00 INFO publisher.AdxPublisherReportManagerImpl|AdxQueryReportManager created.
05/04 07:06:00 INFO adn.AdNetworkReportManagerImpl|AdxQueryReportManager created.
05/04 07:06:00 INFO agents.DemandAgent|setting up...
05/04 07:06:00 FINE agents.DemandAgent|Finished setup
05/04 07:06:01 INFO sim.Simulation|***** START OF TIME 0 *****
05/04 07:06:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=440396847, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, FEMALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=adv1]
05/04 07:06:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=225936843, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, OLD], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork]
05/04 07:06:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=569432405, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[HIGH_INCOME, YOUNG], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-2]
05/04 07:06:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=1263299803, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, YOUNG], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-3]
05/04 07:06:01 FINE agents.DemandAgent|Allocating initial campaign : CampaignImpl [id=108971132, reachImps=1250, dayStart=1, dayEnd=5, targetSegment=[LOW_INCOME, MALE], videoCoef=2.0, mobileCoef=1.5, budget=1.25, advertiser=DummyAdnetwork-4]
