05/04 07:05:53 INFO agentware.SimClient|next simulation starts in 6 seconds
05/04 07:16:00 INFO agentware.SimClient|next simulation starts in 59 seconds
05/04 07:27:20 INFO agentware.SimClient|next simulation 12 has already started
05/04 07:30:22 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[-6.998400]]
05/04 07:30:22 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignAuctionReport CampaignAuctionReportEntry [actualBid=2276.0, effectiveBid=1831.8869782451143] CampaignAuctionReportEntry [actualBid=2842.0, effectiveBid=2526.321271864611])]
05/04 07:30:22 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
05/04 07:30:22 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=49, serviceLevel=0.5314410000000002, price=0.0, qualityScore=0.4, campaignId=1051371529, winner=DummyAdnetwork-7, cost=0.0]]
05/04 07:30:22 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,tau.tac.adx.report.demand.CampaignOpportunityMessage[147245812,6250,51,53,[OLD, HIGH_INCOME],2.0,1.5,49,[]]]
05/04 07:30:22 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(AdxPublisherReport (publisher: yahoo popularity: 54310 video: 7288 text: 47023) (publisher: ebay popularity: 58494 video: 8824 text: 49671) (publisher: fox popularity: 9250 video: 5935 text: 3316) (publisher: amazon popularity: 59635 video: 8243 text: 51393) (publisher: wallmart popularity: 17312 video: 12627 text: 4686) (publisher: target popularity: 11196 video: 7980 text: 3217))]
05/04 07:30:22 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,simulationStatus[49,99312,false,[]]]
05/04 07:30:23 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,BankStatus[-7.144200]]
05/04 07:30:23 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,(CampaignReport)]
05/04 07:30:23 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,AdNetworkDailyNotification [effectiveDay=50, serviceLevel=0.5314410000000002, price=0.0, qualityScore=0.4, campaignId=147245812, winner=, cost=0.0]]
05/04 07:30:23 SEVERE agentware.SimClient|No agent registered to receive Message[coordinator,adv1,tau.tac.adx.report.demand.CampaignOpportunityMessage[1939447542,12500,52,54,[MALE, HIGH_INCOME],2.0,1.5,50,[]]]
